bench,No JIT (ms),No JIT RSD,YJIT 3.3 (ms),YJIT 3.3 RSD,YJIT 3.4dev (ms),YJIT 3.4dev RSD,YJIT 3.3 spd,YJIT 3.3 spd RSD,YJIT 3.4dev spd,YJIT 3.4dev spd RSD,% in YJIT
activerecord,508.8612021004059,0.2989228623868609,264.27623409276396,0.37328800123076716,239.6342145845942,0.39477767833303523,1.925489833950751,0.47822464336378084,2.1234914345704623,0.4951810708898065,99.93049583137196
chunky-png,1161.6575967054814,0.17163828454344288,697.1373162937887,0.17561189629732693,643.3282604290022,0.22982294284660792,1.6663253702745902,0.24555903331410753,1.8056996220418366,0.28684191775208007,99.98838207815766
erubi-rails,1886.3365016877651,0.25819816233206466,1102.8067505814963,0.22707020031691547,1007.2203777730465,0.4497490587676031,1.7104869014386457,0.3438417759720586,1.872814076556349,0.5185947424473181,99.8415933890764
hexapdf,3581.0572024434805,0.5761673254767713,2365.5720541253686,1.3803518022727927,1917.3347361385822,1.255373811895468,1.5138229233805849,1.4957740086606675,1.8677266597983582,1.381279187760394,98.66988667705155
liquid-c,83.98421801326947,0.5515656775133746,62.567536594040355,0.8792536268251164,57.95098743833146,0.7392513801416575,1.342297021507941,1.037936239321043,1.4492284208727464,0.9223433740490216,99.75463118664237
liquid-compile,86.4580585469301,0.4725521819205264,63.11943142084024,0.7236004419461428,59.357456633388395,1.408493887839068,1.3697534436025371,0.8642355953225391,1.4565660904395574,1.4856515731213236,99.95488679640354
liquid-render,210.0988430412192,0.40606425984745315,87.7604103669614,0.6304539712193978,81.63640205161411,0.6327387403666913,2.3940047928526296,0.7499069228589434,2.5735926346727713,0.7518287681954496,99.89628045881904
lobsters,1349.805524859291,1.3766278498272757,902.8583765876564,1.3834494767452337,873.3138337569392,1.2617307713231236,1.495035721948847,1.9516753550800219,1.5456133553415907,1.8673694803717107,99.17810771930664
mail,179.87941798921196,0.3900269264894577,134.54411037584052,0.3399435056633189,124.84902663875306,0.3384010636912758,1.3369549769717166,0.5173805083586738,1.440775493666344,0.5163683600824122,99.88113904217158
psych-load,2832.0541890338063,0.04948103206368267,2044.0039480105042,0.06637830226662697,1637.771932221949,0.08159519599528851,1.3855424260752223,0.08279161519071172,1.729211579045433,0.09542614182495665,99.99210655374326
railsbench,3442.9355217143893,0.14648745173891597,2051.0322526097298,0.11661591372422704,1927.4343265220523,0.309301471792451,1.678635485782149,0.18723740238183612,1.7862790313208619,0.34223672212364586,99.8079594554493
rubocop,210.52223614488656,1.0075423144076112,127.80220801351776,2.2950210342856296,111.35143579029646,2.599517365091382,1.6472503833628558,2.5064443068090156,1.8906108812225317,2.7879440537309006,99.86127524000098
ruby-lsp,156.0827887688692,1.3361203360063856,123.78035902241524,1.3336844436329216,105.73500201023896,4.633966659495831,1.2609657137979728,1.887837849890258,1.4761695351720403,4.822744504284751,97.56768502968545
sequel,92.57407090257085,0.44720244142581983,75.4305117801984,0.4263908824778441,69.77699880177776,0.4361425883121052,1.227276187285168,0.617899027574448,1.3267132793365752,0.6246682167013112,98.835318064694
