bench,No JIT (ms),No JIT RSD,YJIT 3.3 (ms),YJIT 3.3 RSD,YJIT 3.4dev (ms),YJIT 3.4dev RSD,YJIT 3.3 spd,YJIT 3.3 spd RSD,YJIT 3.4dev spd,YJIT 3.4dev spd RSD,% in YJIT
activerecord,1476.414309645241,0.06802080439044504,984.2898831481025,0.053178774937682714,907.1957992146845,0.04455622992851377,1.499979157484737,0.08634125279260141,1.6274483534021007,0.08131474316116219,99.80911763375185
chunky-png,2484.3933787196875,0.5571615667941404,1397.5431555882096,0.137660338160728,1251.1286256568771,0.0858336426441825,1.777686341051869,0.5739158302530323,1.9857217937246958,0.5637343574078758,99.98839037665184
erubi-rails,4653.181700780988,0.06739849779814537,3330.7592768222094,0.05050301618694646,3095.687524229288,0.056978646232962206,1.397033323050733,0.08422061594066849,1.5031173735596774,0.08825601187447608,99.84156853255962
hexapdf,8698.680176213384,0.4718706763974108,6437.313728407025,0.32057030076631515,5202.335333824158,1.228434331340462,1.3512903896274688,0.5704623151244574,1.6720721787495993,1.3159456074092264,97.1774241753442
liquid-c,238.50512536692207,0.45091774147055624,197.94122481071358,0.18233347634792746,179.6320574061506,0.619992754065117,1.2049290166563271,0.48638699218834747,1.3277425466861887,0.7666275658141677,99.66655381870657
liquid-compile,223.81817366206838,0.11181964908997662,179.9476120668726,2.821157928323794,177.19214700115552,0.39645200753952287,1.243796297662969,2.8233731050760555,1.263138222827724,0.41191968659524314,99.89623608892347
liquid-render,570.8271180127942,0.10415910783076007,313.39965721722257,0.12438304813615104,285.2566719055176,0.10805882006627286,1.8214031345195263,0.1622352070536478,2.0010999714736313,0.15008606976736727,99.86188993100495
lobsters,3187.534487619996,0.45803932741618647,2333.9993566274643,1.3118395298787893,2230.07868938148,1.335007312692069,1.3656963865773537,1.389504579917776,1.4293372259900252,1.4113980836040456,99.0156599041875
mail,478.11883215147714,0.17861190315338324,369.69419239439827,0.18735753150301943,337.6967108465339,0.21397124980995036,1.2932819665216946,0.25885334952242456,1.415823183331975,0.27872191821474274,99.7632481802602
psych-load,8360.752576589584,0.09301437130407678,5420.748254284263,0.031143864965474007,4716.590445488691,0.056613292675546975,1.5423613465136854,0.09808982411076259,1.772626365001958,0.10888865035741696,99.992109285385
railsbench,9530.899136886,0.037088211981164444,6306.439808383584,0.4262660212255623,5833.115349709988,0.06694766228352247,1.511296298145258,0.4278764498303585,1.6339294811579306,0.07653446905276319,99.80796162558941
rubocop,535.988793708384,0.47792945066743425,397.26834800445806,4.428667045907538,363.9350459611012,4.093667605109428,1.3491857491308854,4.4543808058273004,1.472759492818047,4.1214719483380735,99.63079833146186
ruby-lsp,400.19025154984917,0.1635449783293214,300.83854771642524,1.0236954532018279,314.7714319474557,0.656894297483485,1.3302492469385083,1.0366770668066472,1.2713677638212488,0.6769468797498512,97.52564859595688
sequel,238.60948709449892,0.19469981083993668,214.5309825069629,0.2358343953542602,198.73455446873996,0.24484179047352872,1.112237888934082,0.3058200097659024,1.200644184562434,0.3128186674471178,96.7323816601362
binarytrees,989.1156990613256,0.9727517864933812,497.701490334436,2.2354128188632467,463.66304450414395,2.1998556334340793,1.9873673643144576,2.4378918164808283,2.133264039015914,2.405329675133477,99.98483441764127
blurhash,1052.8652301352274,1.9699429296669033,436.06225615840845,0.34234659338199014,412.1861309995727,0.34897529689594525,2.414483746909645,1.9994690135495665,2.5543441444329402,2.0006146315540723,99.98135946107357
erubi,667.0962249594076,0.1581261597816213,614.0602086790097,0.10781225896800481,548.3430571854115,0.144186995105675,1.086369407316737,0.1913827724510933,1.2165672861502868,0.2139947942471657,99.9396571697093
etanni,2618.636801838875,0.02087037053531793,913.0210879704226,0.08518502680690182,2425.7713221013546,0.04397301151220284,2.8681011165469443,0.08770439645977873,1.0795068677662691,0.04867440916676637,99.91820608528607
fannkuchredux,5704.886915907264,0.9763580585263589,1674.9986346811056,0.39328555089409756,1410.7049863785505,0.10782113126042223,3.4059054125697172,1.0525913656264878,4.043997129798481,0.9822934667377351,74.28186557073154
fluentd,5276.758962869644,0.33572782083010155,5808.340951800346,0.2387730367782863,4464.9159822613,0.4663552920455313,0.9084795480599441,0.41197783043709235,1.1818271572933783,0.5746306884410208,99.97568482692851
graphql,11207.255596295,0.08483445456436242,9790.445587411523,0.031059875653887212,9027.561465278268,0.027576900463841352,1.1447135369104344,0.09034157712187567,1.241448827504554,0.0892040925093994,99.44085718899213
graphql-native,1714.9344075471163,2.02502724852731,1583.9877974241972,0.08555189729432323,1480.5339761078358,0.025566171754866585,1.082668951323904,2.0268336104398763,1.158321548321028,2.0251886298358204,99.89849340888294
lee,3695.5544888973236,0.6011877091190602,2849.5238959789276,1.048564146769062,2492.85576865077,0.6984826805442687,1.2969024383730428,1.208682518896238,1.4824582053126565,0.9215772982317494,99.95541688084576
matmul,3919.3372774869204,4.324671215021395,2181.0161404311657,0.383473656032113,2135.922159254551,0.0652825336237682,1.797023508827452,4.341639455655578,1.8349625994117649,4.325163919116934,99.64085756148958
nbody,299.8206418130424,1.8070733852825727,125.93878834919117,0.33735314022318813,120.01449127371113,0.6281737009688939,2.3806854563482704,1.8382930563473996,2.4982036638330305,1.9131430731614336,99.55569410183206
nqueens,589.5971809400291,1.7882131550280909,605.4853700101376,2.404211126035836,105.42147752197309,0.29665799953580363,0.9737595822177464,2.9963206481232985,5.592761501726618,1.812653374615264,89.0433401973093
optcarrot,17981.47792853415,0.5211830393809904,8328.130052238703,0.48625394710094755,8663.936084881425,0.3294732117058636,2.159125495848916,0.7127935617060932,2.075439817695775,0.6165909160620061,99.49147765958995
protoboeuf,450.1976827649694,1.3836851700358612,211.08144911175424,0.08875507605819023,148.02975415174538,0.4441671915057622,2.132815008895539,1.3865288000266223,3.0412648142580276,1.4532271480354635,99.97601059019979
rack,237.41959917367015,0.6013295874680735,176.23070486306403,0.484265470244061,160.1320551445255,0.7640911832624832,1.347209042590799,0.7720818081234818,1.4826487985768344,0.9723335894146541,99.59299646866566
ruby-json,11135.594972595572,0.20309943811825418,9573.883001506329,0.17050749224865508,9832.438598573208,0.05066618293615476,1.1631221073877265,0.2651833076889941,1.1325364365063482,0.20932377757261703,99.98260529434572
rubykon,35244.909017160535,0.49431184192210864,21122.200391441584,0.6539423955861989,19837.03147172928,0.7853899547693332,1.668619195159292,0.8197468229944197,1.776722947049299,0.9279986951052264,99.94793347605568
sudoku,4619.498300179839,0.31789444322295485,1624.6976535767317,0.04707341164877717,1401.1017009615898,0.026779489556675383,2.843297206720357,0.32136083009023936,3.297047100156564,0.3190204038818654,99.71182752586374
