bench,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,1517.5487749278545,0.08654550337582369,983.7659524664992,0.039301776972430987,909.3552335448887,0.05890732636254962,1.542591275011149,0.09505132207268563,1.6688184319477426,0.10469096070701922,99.80906104536551
chunky-png,2447.313170135021,0.1882975783023924,1396.550637980302,0.07503487826473836,1286.7781682206053,0.13836509475359152,1.7523984477027892,0.20269733829221762,1.9018920514631033,0.23366830645322006,99.98838084538235
erubi-rails,4830.248059332371,0.03916336313133963,3321.7107109725475,0.051496013073401334,3132.7033948153257,0.0841857427272109,1.4541447102472527,0.06469627790076563,1.5418785153189123,0.09284938497528843,99.84157242731693
hexapdf,8822.904741764069,0.4997289201935999,6484.086795896292,0.7391925914497232,5298.949120938778,1.7569320952651504,1.360701208896215,0.8922637955963576,1.6650291483079906,1.8266196596584228,98.37859352424655
liquid-c,238.53072569031139,0.46507182689615506,198.08281065090327,0.1771509745091661,181.1258477549399,0.5434005421264783,1.204196996733314,0.49766883762405145,1.3169336604736794,0.7152453798214132,99.66647759189287
liquid-compile,221.84460781632907,0.0862858474121472,179.8041543851678,2.824813167922619,176.0339428903535,0.32174442083444277,1.2338124698782222,2.8261306907382497,1.2602376801530244,0.3331136739939136,99.89231263214079
liquid-render,574.7793212013189,0.08453271945113183,313.1206878569237,0.11764668287933716,279.93847518083976,0.0943751896162879,1.8356478619641912,0.14486725872437528,2.053234450284165,0.12669829151537151,99.86184608604638
lobsters,3234.3801483511925,0.3594707371494326,2340.5433654785156,1.2653222760494498,2227.3940566927195,1.3046003086959073,1.3818928527692267,1.315393353006513,1.452091576985559,1.3532188205594144,99.02431982624418
mail,478.06084951242576,0.18249884313070833,370.58605194307756,0.180640156298098,337.59246928323256,0.22763004332619627,1.2900130671562795,0.25678141251159153,1.4160886068561658,0.29175548729841033,99.75949038703891
psych-load,8229.614670574665,0.06530065441021059,5390.367954224348,0.03276448507239013,4441.4937529712915,0.0385428872839012,1.5267259564581752,0.07305947541873424,1.8528934471807326,0.0758269716300293,99.9920996941926
railsbench,9610.305384919047,0.0229614996363972,6318.070130050182,0.453067782848705,5799.901865422726,0.04312601644665766,1.521082417115037,0.4536492547343086,1.6569772399448348,0.04885779119147381,99.80795116303668
rubocop,538.481281308288,0.4936218909143017,398.3020095752095,4.4211733276938885,357.2456407671173,4.122612932856815,1.3519421654000192,4.448644306381627,1.507313791574899,4.152059725647993,99.63086066425934
ruby-lsp,409.00460752891377,0.1601053474990595,301.7508011226627,1.072619517628678,319.92137153823694,0.6457115856420133,1.3554383484889307,1.0845028132263062,1.2784535323862527,0.6652647398818891,97.52442639539134
sequel,239.763000723103,0.19691052759201336,214.836785197258,0.188427199521161,198.57621473640623,0.2530750020570675,1.1160239644386707,0.27254094260487266,1.207410469785462,0.3206566895337594,96.6879306747831
binarytrees,1023.2790909707546,1.1870426828358767,500.5017476528883,2.229524891430856,463.6452529918064,2.3043633109520045,2.0445065292367905,2.525836806364173,2.207030233498019,2.592134371466086,99.98483454099183
blurhash,1026.6202040016651,1.1105988219391738,440.4768508748483,0.3343858563690862,410.9775290366203,0.3487317463611188,2.3307018336211187,1.1598463882050793,2.497995952256036,1.1640633892588308,99.98135946107357
erubi,700.3742115515652,0.16370616982111816,620.2269077109985,0.11942643374339357,564.3189745870503,0.08154640773343234,1.12922255201142,0.20263855288213528,1.2410963357453566,0.18289211752212825,99.93755563908569
etanni,2653.8976218551397,0.052500766108893024,926.4447697154853,0.12127409050984903,2460.6189016252756,0.048540633830310105,2.8646042469106514,0.13215042743408642,1.0785488236728575,0.07150191308397934,99.9182165795907
fannkuchredux,5766.239263489842,1.6980768152768189,1679.8488020896912,1.3512429421953516,1379.8581026494503,0.17643049279548634,3.4325942050955898,2.1700973156550867,4.178863937109294,1.7072177920138722,74.28186557073154
fluentd,5159.042129293084,0.5839062845988612,5651.185465604067,0.6685357058411827,4481.427566707134,0.9512166237571079,0.9129132569960033,0.8876297309005678,1.1512050685857338,1.1161360197153023,99.9756653920024
graphql,11573.954527080059,0.07442981480637335,9768.820539489388,0.025537805266364077,9044.589822366834,0.054193235011760474,1.1847852542989825,0.078689115066404,1.2796549931383543,0.09206901787871388,99.44085207629654
graphql-native,1635.478400066495,0.051860287910380116,1576.41148455441,0.051597995794455814,1403.0814037347834,0.04197908372178175,1.0374692243052142,0.07315628908133735,1.16563329519806,0.06672130793283268,99.89843493747142
lee,3586.8519630283117,0.5603482521136187,2842.247122526169,1.1028677714098527,2461.595244333148,0.8210496925402135,1.261977515818661,1.237055974829483,1.457124997005752,0.9940386115575021,99.95546266897979
matmul,4252.326661720872,1.0748184215294927,2187.523414194584,0.3763880454501438,2136.8624705821276,0.07049590594901768,1.9438999528544567,1.1388163153103006,1.989986122299413,1.0771278067224535,99.64085737128815
nbody,285.8705601409862,1.3839756589162804,126.40624052207721,0.3066363318391052,126.11270614229797,0.507857066215538,2.2615225242068493,1.4175381703772545,2.266786344418199,1.47421417174636,99.55569410183206
nqueens,595.2232195655021,1.611171669593773,614.8624372405884,2.552442382099423,104.77134340332941,0.41072645217198267,0.9680591682210671,3.0184161844979167,5.681164335882584,1.6626997225642908,89.0433401973093
optcarrot,17043.23596842587,0.48938105528071857,8307.068755105138,0.4876380674047442,8476.855551451445,0.35995539934512744,2.0516546173946004,0.6908579463608301,2.0105610936720106,0.6075044911647813,99.49147765958995
protoboeuf,431.07349816709757,1.0638422749759184,209.88536892192704,0.2379613370470574,145.4044855674919,0.4782592913358305,2.0538520640161817,1.0901311774071785,2.964650619165443,1.1664014470905755,99.97549347534918
rack,239.72200981244958,0.41938307052066226,176.06373017896777,0.45429887457007384,157.12679566517062,1.083978504605572,1.36156384718632,0.6182795704816507,1.5256596355677312,1.162278606138077,99.5962287164682
ruby-json,10793.586381152272,0.17883052655277187,9668.699260801077,0.11142463118822271,9673.054268956184,0.05099400742970867,1.1163431698524042,0.21070312209972852,1.1158405691770201,0.1859589901588058,99.98260566922123
rubykon,35870.608872920275,0.4764700564234403,20828.981977328658,0.4781889460567165,19748.685247823596,0.5212831134194744,1.7221489226868458,0.6750469485887554,1.8163542748686723,0.7062292821771532,99.94793347605568
sudoku,4842.463741451502,1.1836036713008347,1622.0581892877817,0.052984091633147316,1410.1792912309368,0.044417979451522975,2.985382259053077,1.1847889958482076,3.433934799329343,1.1844368314162517,99.71182752586374
tinygql,2640.356269478798,0.121457129168601,1406.198683194816,0.19405455286863263,1475.6489924409173,0.04078582654136767,1.8776551998185882,0.22893012845609284,1.7892847709747708,0.12812227703463888,99.97947447251809
30k_ifelse,7593.241511657834,0.14570926393649922,1554.1642513126135,0.05064374113722309,1512.8337867558002,0.028779874391470436,4.885739396749569,0.15425945064497817,5.0192172981151995,0.1485243103566053,99.93971032827803
30k_methods,19796.74997329712,0.06586338934269904,3342.692417278886,0.05686638372836832,3320.0764805078506,0.08070596845339659,5.922396530103908,0.08701592758828693,5.962739138548079,0.10417024239056281,99.9760676063583
cfunc_itself,291.5033758968435,0.20431783510504758,48.58486454766523,13.930053222520499,43.232422779429946,13.818117192779013,5.999880386840594,13.931551548912125,6.742702748446041,13.819627655299438,89.82330861671728
fib,533.9546968107638,5.626214359834482,115.26916121166066,0.049873661181142476,102.91737287655367,6.410269920708242,4.632242407232411,5.626435408399118,5.188188173547984,8.529117684681376,99.98715506612514
getivar,246.23656372672744,0.09752061262973176,47.621919209569384,78.67658415956612,44.3729569658565,80.85843962372687,5.170656030117481,78.67664459855402,5.549248473934207,80.85849843185173,53.9639586721786
keyword_args,705.0721286372705,0.2617522897493525,78.09030696388203,8.800767108406236,66.15137184944449,16.783749372257276,9.028932732501323,8.80465876440388,10.65846571167052,16.78579033742336,91.93634241452567
respond_to,750.2773875190366,0.941156367361087,40.51470973153305,12.360502258384011,35.07164546230621,15.275828377089795,18.51864156230366,12.396281353185742,21.39270563525195,15.304793625336021,89.96392643119361
ruby-xor,1838.1573926657438,2.2249173565591502,540.4010404549215,0.04707371936109361,316.5938087684267,0.060386892257701406,3.4014690110854384,2.2254152822726465,5.806043396162142,2.2257366915865635,99.99228699980168
setivar,189.80791912282874,0.10902999319835081,34.59335230336711,69.03111413222564,31.277782767513834,74.49123186738082,5.486832194182983,69.03120023493564,6.068458257852269,74.49131165887273,68.73874322127101
setivar_object,307.30946091088384,0.027510331876720938,130.52950702283692,41.89714194164185,127.90723616407381,44.22710383330088,2.3543294379953355,41.89715097350229,2.4025963669223587,44.22711238934707,60.689888507684
setivar_young,309.9963189284692,0.4322507648014798,130.68357212603956,42.20373553264145,128.19491855445364,44.79683034237741,2.3721139075498257,42.20594903130143,2.4181638587865817,44.79891571731862,61.3997769003019
str_concat,170.31112786786383,1.2088946491629917,81.82582888082507,1.1958523052760064,74.70360758435696,1.2780402103862354,2.081385916859001,1.700437887371618,2.279824674806297,1.7592080752824566,99.75658171860391
throw,65.01458355316282,0.3426166877095584,50.562672852857474,0.23524009944071353,45.463114604353905,0.4724147462101407,1.2858217314255098,0.4156008891736708,1.430051243056201,0.5835768048285167,99.96505427227207
